month,passengers
Jan-49,1.855005
Feb-49,1.843196
Mar-49,1.839602
Apr-49,1.830674
May-49,1.8327
Jun-49,1.828529
Jul-49,1.821201
Aug-49,1.81517
Sep-49,1.804298
Oct-49,1.8231
Nov-49,1.812125
Dec-49,1.804692
Jan-50,1.790844
Feb-50,1.783471
Mar-50,1.780939
Apr-50,1.771209
May-50,1.76863
Jun-50,1.75363
Jul-50,1.74622
Aug-50,1.737665
Sep-50,1.731517
Oct-50,1.708595
Nov-50,1.71147
Dec-50,1.707502
Jan-51,1.749238
Feb-51,1.73277
Mar-51,1.722231
Apr-51,1.711846
May-51,1.699268
Jun-51,1.694037
Jul-51,1.681903
Aug-51,1.676977
Sep-51,1.665523
Oct-51,1.657192
Nov-51,1.648224
Dec-51,1.63877
Jan-52,1.627649
Feb-52,1.622154
Mar-52,1.614007
Apr-52,1.676052
May-52,1.649301
Jun-52,1.632383
Jul-52,1.616416
Aug-52,1.610903
Sep-52,1.595464
Oct-52,1.726707
Nov-52,1.716567
Dec-52,1.695824
Jan-53,1.677778
Feb-53,1.660659
Mar-53,1.666411
Apr-53,1.646834
May-53,1.625764
Jun-53,1.612158
Jul-53,1.605737
Aug-53,1.673645
Sep-53,1.640435
Oct-53,1.613265
Nov-53,1.592096
Dec-53,1.586601
Jan-54,1.580077
Feb-54,1.564173
Mar-54,1.555618
Apr-54,1.540205
May-54,1.532161
Jun-54,1.531623
Jul-54,1.52226
Aug-54,1.506527
Sep-54,1.501422
Oct-54,1.496353
Nov-54,1.533426
Dec-54,1.523845
Jan-55,1.501192
Feb-55,1.492418
Mar-55,1.483324
Apr-55,1.480738
May-55,1.473508
Jun-55,1.468019
Jul-55,1.458092
Aug-55,1.447866
Sep-55,1.452781
Oct-55,1.442536
Nov-55,1.439271
Dec-55,1.428648
Jan-56,1.424903
Feb-56,1.469812
Mar-56,1.452582
Apr-56,1.442834
May-56,1.428376
Jun-56,1.415455
Jan-49,1.454577
Feb-49,1.428318
Mar-49,1.419703
Apr-49,1.415561
May-49,1.40568
Jun-49,1.408446
Jul-49,1.396855
Aug-49,1.393567
Sep-49,1.389364
Oct-49,1.378565
Nov-49,1.384901
Dec-49,1.370325
Jan-50,1.373346
Feb-50,1.367949
Mar-50,1.356714
Apr-50,1.460431
May-50,1.4501
Jun-50,1.438141
Jul-50,1.428368
Aug-50,1.414787
Sep-50,1.413889
Oct-50,1.398933
Nov-50,1.395332
Dec-50,1.390046
Jan-51,1.386027
Feb-51,1.388215
Mar-51,1.376183
Apr-51,1.364717
May-51,1.358985
Jun-51,1.346231
Jul-51,1.426843
Aug-51,1.406448
Sep-51,1.393491
Oct-51,1.388249
Nov-51,1.370188
Dec-51,1.379695
Jan-52,1.368659
Feb-52,1.362737
Mar-52,1.363405
Apr-52,1.351865
May-52,1.354797
Jun-52,1.341051
